date,time,id,Temp,Humidity,CO2,TVOC,PM1,PM2.5,PM10,fan_action,filter_action
08/10/2022,18:07:33,7,26.24437,78.862,50.38827,19,6,8,8,,
08/10/2022,18:07:33,11,27.12558,77.59094,435.161,15,7,10,10,,
08/10/2022,18:07:33,1,26.9707,75.21362,333.1526,11,5,7,7,,
08/10/2022,18:07:33,,0,0,0,0,0,0,0,-1,-1
08/10/2022,18:07:38,7,26.27375,78.90778,48.7069,19,6,8,8,,
08/10/2022,18:07:38,11,27.13893,77.65045,435.4262,15,7,10,10,,
08/10/2022,18:07:38,1,27.01343,75.41199,332.5538,11,5,7,7,,
08/10/2022,18:07:43,7,26.52476,80.79376,643.7675,89,6,8,8,,
08/10/2022,18:07:43,11,27.12558,77.64893,435.4462,15,7,10,10,,
08/10/2022,18:07:43,1,27.04013,75.31586,332.1215,11,5,7,7,,
08/10/2022,18:07:48,7,26.31647,78.66058,47.92584,19,6,8,8,,
08/10/2022,18:07:48,11,27.1683,77.68707,435.1247,15,7,10,10,,
08/10/2022,18:07:48,1,27.01343,75.31891,331.9847,11,5,7,7,,
08/10/2022,18:07:48,,27.13893,80.79376,643.7675,89,7,10,10,-1,-1
08/10/2022,18:08:03,7,26.32983,78.46832,47.5625,19,6,8,8,,
08/10/2022,18:08:03,11,27.18166,77.79236,434.4265,15,7,10,10,,
08/10/2022,18:08:03,1,27.01343,75.57526,332.6445,11,5,7,7,,
08/10/2022,18:08:03,,0,0,0,0,0,0,0,-1,-1
08/10/2022,18:08:08,7,26.55146,79.62189,678.3431,61,8,11,11,,
08/10/2022,18:08:08,11,27.18166,77.83203,433.5914,15,7,10,10,,
08/10/2022,18:08:08,1,27.04013,75.21362,332.2011,11,5,7,7,,
08/10/2022,18:08:13,7,26.35653,78.38593,47.74623,19,6,8,8,,
08/10/2022,18:08:13,11,27.2404,77.76947,433.2222,15,7,10,10,,
08/10/2022,18:08:13,1,27.0695,75.49286,332.6049,11,5,7,7,,
08/10/2022,18:08:28,7,26.42863,78.60107,44.71924,19,6,8,8,,
08/10/2022,18:08:28,11,27.2404,77.97546,432.959,15,7,10,10,,
08/10/2022,18:08:28,1,27.05615,75.71411,371.5574,12,4,6,6,,
08/10/2022,18:08:28,,27.2404,79.62189,678.3431,61,8,11,11,-1,-1
08/10/2022,18:08:33,7,26.65026,80.41382,636.0211,61,6,8,8,,
08/10/2022,18:08:33,11,27.26978,78.05786,432.7577,15,7,10,10,,
08/10/2022,18:08:33,1,27.08286,75.8316,358.0546,12,7,10,10,,
08/10/2022,18:08:38,7,26.66628,80.47791,633.2183,61,6,8,8,,
08/10/2022,18:08:38,11,27.26978,78.06702,432.6085,15,7,10,10,,
08/10/2022,18:08:38,1,27.0695,75.89264,361.4638,12,8,11,11,,
08/10/2022,18:08:43,7,26.69566,80.30548,634.0248,61,6,8,8,,
08/10/2022,18:08:43,11,27.28313,78.0426,431.8872,15,7,10,10,,
08/10/2022,18:08:43,1,27.0695,75.85602,357.8831,12,8,11,11,,
08/10/2022,18:08:43,,27.26978,80.47791,636.0211,61,8,11,11,-1,-1
08/10/2022,18:08:48,7,26.46868,78.38287,46.34144,19,6,8,8,,
08/10/2022,18:08:48,11,27.28313,78.19977,432.4077,15,7,10,10,,
08/10/2022,18:08:48,1,27.08286,75.82245,356.638,12,8,11,11,,
08/10/2022,18:09:23,4,27.08286,76.25732,411.4428,14,6,8,8,,
08/10/2022,18:09:23,7,26.45533,79.5166,47.35917,19,6,9,9,,
08/10/2022,18:09:23,11,27.30984,78.44238,432.2535,15,6,9,9,,
08/10/2022,18:09:23,,27.28313,78.38287,432.4077,19,8,11,11,-1,-1
08/10/2022,18:09:28,4,27.08286,76.20239,365.3889,14,7,10,10,,
08/10/2022,18:09:28,7,26.44198,79.4632,47.75326,19,6,8,8,,
08/10/2022,18:09:28,11,27.32586,78.37219,430.6762,15,6,9,9,,
08/10/2022,18:09:33,4,27.08286,76.16577,366.1134,14,8,11,11,,
08/10/2022,18:09:33,7,26.4847,79.29688,48.40391,19,6,8,8,,
08/10/2022,18:09:33,11,27.38194,78.36456,430.7644,15,7,10,10,,
08/10/2022,18:09:38,4,27.09621,76.02997,360.9507,14,6,8,8,,
08/10/2022,18:09:38,7,26.46868,79.76532,49.32576,19,6,8,8,,
08/10/2022,18:09:38,11,27.38194,78.30963,431.0157,15,7,10,10,,
08/10/2022,18:09:38,,27.38194,79.4632,430.7644,19,8,11,11,-1,-1
08/10/2022,18:09:43,4,27.11223,75.97809,354.0417,14,6,8,8,,
08/10/2022,18:09:43,7,26.46868,79.62799,48.91827,19,6,8,8,,
08/10/2022,18:09:43,11,27.40864,78.41949,430.3687,15,7,10,10,,
08/10/2022,18:09:48,4,27.15495,76.15356,350.6871,14,6,8,8,,
08/10/2022,18:09:48,7,26.45533,79.68292,48.88541,19,6,8,8,,
08/10/2022,18:09:48,11,27.42199,78.44238,429.1494,15,6,9,9,,
08/10/2022,18:09:53,4,27.1683,76.49078,349.1016,14,6,8,8,,
08/10/2022,18:09:53,7,26.77844,79.49066,666.628,64,8,11,11,,
08/10/2022,18:09:53,11,27.45136,78.39508,428.2495,15,6,9,9,,
08/10/2022,18:09:53,,27.42199,79.68292,430.3687,19,7,10,10,-1,-1
08/10/2022,18:09:58,4,27.15495,76.43127,347.5109,14,6,8,8,,
08/10/2022,18:09:58,7,26.75174,79.20074,658.603,64,8,11,11,,
08/10/2022,18:09:58,11,27.46471,78.26691,428.4314,15,7,10,10,,
08/10/2022,18:10:03,4,27.18166,76.57776,346.6702,14,6,8,8,,
